IDENT,PROBLEM,ACTION
100001,engine idle override killed engine.,"tried to adjust idle several times, wouldn't adjust."
100002,engine idle override killed engine.,removed and replaced fuel servo
100003,engine idle override killed engine.,"aircraft was run up, set idle speed, mixture ok, no leaks noted"
100004,had engine choke and briefly lose power on departure. full throttle,"performed engine run up, found cylinder 2 lower plug fouled."
100005,number 2 and number 4 cylinder rocker cover gaskets are leaking.,removed and replaced gaskets.
100006,rocker box cover screws loose all cylinder.,tightened screws.
100007,induction tube hose clamps loose all cylinder.,tightened hose clamps.
100008,number 3 intake is leaking.,removed and replaced gasket.
100009,number 2 intake is leaking.,removed and replaced number 2 intake gasket.
100010,number 4 rocker cover is leaking.,removed and replaced number 4 rocker cover gasket.
100011,"holding short of runway, after completion of run up, engine","performed engine run up, adjusted idle and cleaned spark"
100012,"left,hand rear engine baffle cracked.",stop drilled crack.
100013,induction tube hose clamps loose all cylinders.,tightened hose clamps.
100014,"numbers 1, 2 and 3 rocker box cover gaskets leaking.",installed new rocker box cover gaskets.
100015,number 2 rocker cover gasket leaking.,removed and replaced number 2 rocker cover gasket.
100016,number 1 and number 3 rocker cover gasket leaking.,removed and replaced number 1 and number 3 rocker cover gasket.
100017,rocker box cover screws loose.,tightened screws.
100018,number 1 engine baffle cracked.,fabricated patch of like material and riveted in accordance with reference manual
100019,number 1 intake gasket leaking.,replaced with new gasket.
100020,rocker cover for cylinder number 1 is leaking.,replaced rocker cover.
100021,cylinder number 4 intake leaking.,replaced gasket. leak check good.
100022,number 2 and number 4 cylinder rocker cover gaskets leaking.,removed and replaced rocker cover gaskets. cleaned leaks
100023,rocker box cover screws are loose.,tightened screws.
100024,induction tube hose clamps loose all cylinder.,tightened hose clamps.
100025,number 1 intake gasket leaking.,"removed intake tube, found tube to be cracked. removed"
100026,induction tube hose clamps loose all cylinders.,tightened hose clamps.
100027,"right, hand magneto blast tube fell off.",removed right-hand aft baffle to facilitate repair. fabricated
100028,"on start up, engine began to run rough. ran engine at 1200 rpm","inspected cylinder 1, 2 and 4 in accordance with, checked ok. removed"
100029,"on start up, engine began to run rough. ran engine at 1200 rpm","performed compression check, cylinder number 3 indicated 0 psi."
100030,"on start up, engine began to run rough. ran engine at 1200 rpm","completed baffle install, oil filler tube, spark plugs."
100031,number 4 rocker cover gasket leaking.,replaced gasket.
100032,right engine number 4 air baffle is cracked,removed and replaced number 4 air baffle.
100033,right-hand engine forward alternator attach bolt loose.,secured alternator attach bolt and resafetied.
100034,left-hand engine number 4 aft baffle cracked in multiple places.,replaced baffle assembly.
100035,"right engine, all valve covers are leaking.",removed and replaced all rocker gaskets.
100036,left-hand engine all 4 rocker cover gaskets leaking.,replaced all rocker cover gaskets.
100037,"left,hand engine number 2 intake leaking.","removed tube, found to be cracked. removed tube from complied with reference manual"
100038,"in flight, engine became rough. discovered right magneto inoperable.","ran aircraft, magnetos check good. power and leak check good."
100039,"in flight, engine became rough. discovered right magneto inoperable.","removed number 3 cylinder, disconnected fuel distributor line to good"
