ident,problem,action,evidence_cluster_id,leakage_group_id,split
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",EC-bd5a7e05f8b81c3d,LG-bd5a7e05f8b81c3d,train
100002,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,EC-bd5a7e05f8b81c3d,LG-bd5a7e05f8b81c3d,train
100003,ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",EC-bd5a7e05f8b81c3d,LG-bd5a7e05f8b81c3d,train
100004,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",EC-0a1ae8d098fcf044,LG-0a1ae8d098fcf044,train
100005,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,EC-85e911d03b18c2b6,LG-608d782c2258dd59,train
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,EC-9911c897fa79d522,LG-9911c897fa79d522,test
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,EC-4d3f1a1149d21098,LG-4d3f1a1149d21098,train
100008,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,EC-bc65a72634be2ce3,LG-10956cdabbd1e3ce,dev
100009,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,EC-8ec828272e86c6c2,LG-10956cdabbd1e3ce,dev
100010,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,EC-59c5dc8b564981cd,LG-608d782c2258dd59,train
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK",EC-bb4cf3a23f1d1e68,LG-bb4cf3a23f1d1e68,train
100012,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,EC-96080b309852c2bc,LG-ba980fdf0c11c4fb,test
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,EC-134da831ec3f7c78,LG-4d3f1a1149d21098,train
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,EC-9ef3b526b3c35cc7,LG-608d782c2258dd59,train
100015,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,EC-8828e17d0b33db57,LG-608d782c2258dd59,train
100016,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,EC-50c4890525ec3a2b,LG-608d782c2258dd59,train
100017,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,EC-672c4039227aa006,LG-f40ff9615f91de7f,test
100018,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW ,EC-53de3ec68caebb50,LG-e3b964f842fc4352,test
100019,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,EC-66c69e07864cfa3c,LG-4285908bb8f7434c,train
100020,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,EC-18259eaf02f7962e,LG-608d782c2258dd59,train
100021,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,EC-c4ec7a6934fbe90c,LG-4285908bb8f7434c,train
100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,EC-b9b0eb2f06c6bc2f,LG-608d782c2258dd59,train
100023,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,EC-a7018facec42d909,LG-f40ff9615f91de7f,test
100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,EC-4d3f1a1149d21098,LG-4d3f1a1149d21098,train
100025,#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",EC-66c69e07864cfa3c,LG-4285908bb8f7434c,train
100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,EC-134da831ec3f7c78,LG-4d3f1a1149d21098,train
100027,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,EC-b2927faee2837746,LG-b2927faee2837746,train
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED",EC-12a261bf5b914533,LG-12a261bf5b914533,train
100029,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.",EC-12a261bf5b914533,LG-12a261bf5b914533,train
100030,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.",EC-12a261bf5b914533,LG-12a261bf5b914533,train
100031,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,EC-da6ceccf140509ee,LG-608d782c2258dd59,train
100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,EC-1712344be9f1db73,LG-1712344be9f1db73,test
100033,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,EC-49669f692f729813,LG-49669f692f729813,dev
100034,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,EC-c65909a036192717,LG-c65909a036192717,test
100035,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,EC-4fde0323a34355e2,LG-4fde0323a34355e2,train
100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,EC-2f0f93db843fce03,LG-608d782c2258dd59,train
100037,L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",EC-136e59649c81ab85,LG-4285908bb8f7434c,train
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.",EC-da398f3a25a70a6f,LG-da398f3a25a70a6f,train
100039,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G",EC-da398f3a25a70a6f,LG-da398f3a25a70a6f,train
100040,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G",EC-da398f3a25a70a6f,LG-da398f3a25a70a6f,train
100041,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,EC-66d79f80174da74e,LG-10956cdabbd1e3ce,dev
100042,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,EC-cd33c56b9090b89a,LG-608d782c2258dd59,train
100043,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,EC-5813a4ef5cd3fe63,LG-5813a4ef5cd3fe63,train
100044,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.,EC-34afff95a8b7cc1a,LG-34afff95a8b7cc1a,train
100045,#3 BRAKE MISSING SCREW.,REPLACED SCREW.,EC-2e06ff461f2c3856,LG-2e06ff461f2c3856,dev
100046,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.,EC-d25a7491aa46d50c,LG-d25a7491aa46d50c,dev
100047,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,EC-e2fcde699ff41262,LG-608d782c2258dd59,train
100048,#3 AFT BAFFLE BRACKET LOOSE.,REMOVED & REPLACED MISSING RIVETS W/ SCREWS & NUTS.,EC-33e5c8633ca132d0,LG-33e5c8633ca132d0,test
100049,#4 CYL ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,EC-ab1d24febee092e3,LG-608d782c2258dd59,train
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN.",REMOVED & REPLACED MOUNTS.,EC-1ea65f28aa4470e4,LG-1ea65f28aa4470e4,train
100051,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,EC-66d79f80174da74e,LG-10956cdabbd1e3ce,dev
100052,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,EC-faa911573d289bce,LG-608d782c2258dd59,train
100053,#4 INTAKE IS LEAKING.,REPLACED GASKET & INSPECTED INTAKE TUBE.,EC-03758ee4b47de086,LG-10956cdabbd1e3ce,dev
100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE","ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R",EC-5263412225364099,LG-5263412225364099,test
100055,L/H BAFFLE PLUG WORN.,REMOVED & REPLACED PLUG.,EC-724c9a4174167cf3,LG-724c9a4174167cf3,train
100056,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,EC-d7f19738c9144c80,LG-608d782c2258dd59,train
100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,SECURED SEALS.,EC-33b2df8efc45a02f,LG-33b2df8efc45a02f,dev
100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,SECURED BAFFLE SEAL.,EC-3c8664cb6096a485,LG-37ac3da11bdb9f3b,train
100059,#3 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,EC-d4f07a3229c920c8,LG-d4f07a3229c920c8,test
100060,#4 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,EC-23f16b59b7c9788c,LG-d4f07a3229c920c8,test
100061,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.,EC-3466c922bf8446a2,LG-608d782c2258dd59,train
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,EC-ea0637b1a462dec4,LG-ea0637b1a462dec4,train
100063,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESS CHECKED OK.",EC-ea0637b1a462dec4,LG-ea0637b1a462dec4,train
100064,STUDENT COULDN'T START A/C.,STARTED A/C FOR STUDENT.,EC-d35c2898486b6514,LG-d35c2898486b6514,train
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED",EC-4ef7986e92b70609,LG-4ef7986e92b70609,train
100066,"AFTER LANDING, A/C IDLE @ 970 RPM.",ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA,EC-aa19a130d79e5249,LG-aa19a130d79e5249,train
100067,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,EC-101d36cb67cf078f,LG-101d36cb67cf078f,train
100068,R/H ENG #2 INTAKE LEAKS.,REPLACED GASKET.,EC-0e48eb423d7a05e3,LG-0e48eb423d7a05e3,test
100069,L/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,EC-72a9022fa6c8efec,LG-e3b964f842fc4352,test
100070,R/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,EC-8cd6886a1a37487a,LG-e3b964f842fc4352,test
100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.",EC-09f5d7c20d479e29,LG-09f5d7c20d479e29,train
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.,EC-b7eb591ba10a66fb,LG-b7eb591ba10a66fb,train
100073,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,EC-8edc952c184ae07f,LG-4285908bb8f7434c,train
100074,#4 ROCKER BOX COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,EC-0b59496ca80fb4ee,LG-608d782c2258dd59,train
100075,BAFFLE PLUG HOLE WORN.,INSTALLED PATCH & NEW PLUG.,EC-004ef35b179081f3,LG-004ef35b179081f3,dev
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"RAN A/C, OPS & LEAK CHECK GOOD.",EC-6d2347c35a711ac3,LG-6d2347c35a711ac3,train
100077,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYL HAD VERY L,EC-6d2347c35a711ac3,LG-6d2347c35a711ac3,train
100078,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,COMPLETED REASSEMBLY OF #3 CYL ASSY. INSTALLED NEW INTA,EC-6d2347c35a711ac3,LG-6d2347c35a711ac3,train
100079,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,REMOVED #3 CYL. INSTALLED SERVICEABLE CYL ASSY. TORQUED,EC-6d2347c35a711ac3,LG-6d2347c35a711ac3,train
100080,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW",EC-6d2347c35a711ac3,LG-6d2347c35a711ac3,train
100081,#2 INTAKE LEAKS.,REPLACED GASKET.,EC-5b40d8a9a1eed201,LG-0e48eb423d7a05e3,test
100082,#4 INTAKE LEAKS.,REPLACED GASKET.,EC-3fb03b30627f5eca,LG-0e48eb423d7a05e3,test
100083,#3 INTAKE TUBE GASKET IS LEAKING.,REPLACED GASKET.,EC-3786055825620e07,LG-4dcd0e6b51932d0b,dev
100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REPLACED GASKETS.,EC-c49d49dd39b2d6cc,LG-608d782c2258dd59,train
100085,ENGINE WOULD NOT START.,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA",EC-356f7073285e0631,LG-356f7073285e0631,test
100086,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,EC-8ec828272e86c6c2,LG-10956cdabbd1e3ce,dev
100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H,EC-c8fadef8fcc0d81e,LG-c8fadef8fcc0d81e,train
100088,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,EC-672c4039227aa006,LG-f40ff9615f91de7f,test
100089,#2 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.,EC-abec8430bec9f461,LG-abec8430bec9f461,test
100090,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.,EC-e2fcde699ff41262,LG-608d782c2258dd59,train
100091,#1 INTAKE LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.,EC-3bfb71c5d2c84d08,LG-10956cdabbd1e3ce,dev
100092,#3 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS W/ NEW.,EC-b083ca05c337f8b7,LG-608d782c2258dd59,train
100093,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,EC-979a2371e346f510,LG-608d782c2258dd59,train
100094,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET W/ NEW.,EC-9187c760c59569da,LG-4285908bb8f7434c,train
100095,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,EC-672c4039227aa006,LG-f40ff9615f91de7f,test
100096,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,EC-fbe922c5be2d1674,LG-608d782c2258dd59,train
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,TIGHTENED HOSE CLAMP.,EC-2875750fca9da4aa,LG-2875750fca9da4aa,test
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,EC-3dc3a3e8e96419a1,LG-3dc3a3e8e96419a1,train
100099,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH",EC-3dc3a3e8e96419a1,LG-3dc3a3e8e96419a1,train
100100,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,EC-a0b3e63ece653165,LG-608d782c2258dd59,train
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U",EC-ab28794e80aaabb8,LG-ab28794e80aaabb8,train
