record_id,system,raw_text,prediction_text,problem_raw,action_raw,problem_candidate,action_candidate,problem_normalized,action_normalized,problem_candidate_grounded,action_candidate_grounded,problem_fallback,action_fallback,protected_tokens_preserved
100001,raw,"ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",True,True,none,none,True
100002,raw,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,True,True,none,none,True
100003,raw,"ENGINE IDLE OVERRIDE KILLED ENGINE. A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO","ENGINE IDLE OVERRIDE KILLED ENGINE. A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",True,True,none,none,True
100004,raw,"HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",True,True,none,none,True
100005,raw,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,True,True,none,none,True
100006,raw,ROCKER BOX COVER SCREWS LOOSE (ALL CYL). TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYL). TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,True,True,none,none,True
100007,raw,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100008,raw,#3 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,#3 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,True,True,none,none,True
100009,raw,#2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,True,True,none,none,True
100010,raw,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,True,True,none,none,True
