record_id,system,raw_text,prediction_text,problem_raw,action_raw,problem_candidate,action_candidate,problem_normalized,action_normalized,problem_candidate_grounded,action_candidate_grounded,problem_fallback,action_fallback,protected_tokens_preserved
100001,rules,"ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN FEET T ADJUST.",ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN FEET T ADJUST.",ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN FEET T ADJUST.",True,True,none,none,True
100002,rules,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED AND REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED AND REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED AND REPLACED FUEL SERVO,True,True,none,none,True
100003,rules,"ENGINE IDLE OVERRIDE KILLED ENGINE. A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO","ENGINE IDLE OVERRIDE KILLED ENGINE. AIRCRAFT WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE KILLED ENGINE.,"AIRCRAFT WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE KILLED ENGINE.,"AIRCRAFT WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",True,True,none,none,True
100004,rules,"HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE PERFORMED ENGINE RUN UP, FOUND CYLINDER 2 LOWER PLUG FOULED.",HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE,"PERFORMED ENGINE RUN UP, FOUND CYLINDER 2 LOWER PLUG FOULED.",HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE,"PERFORMED ENGINE RUN UP, FOUND CYLINDER 2 LOWER PLUG FOULED.",True,True,none,none,True
100005,rules,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,NUMBER 2 AND 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER 2 AND 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING.,REMOVED AND REPLACED GASKETS.,NUMBER 2 AND 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING.,REMOVED AND REPLACED GASKETS.,True,True,none,none,True
100006,rules,ROCKER BOX COVER SCREWS LOOSE (ALL CYL). TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER). TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).,TIGHTENED SCREWS.,True,True,none,none,True
100007,rules,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER). TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).,TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100008,rules,#3 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,NUMBER 3 INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER 3 INTAKE IS LEAKING.,REMOVED AND REPLACED GASKET.,NUMBER 3 INTAKE IS LEAKING.,REMOVED AND REPLACED GASKET.,True,True,none,none,True
100009,rules,#2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER 2 INTAKE IS LEAKING. REMOVED AND REPLACED NUMBER 2 INTAKE GASKET.,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER 2 INTAKE IS LEAKING.,REMOVED AND REPLACED NUMBER 2 INTAKE GASKET.,NUMBER 2 INTAKE IS LEAKING.,REMOVED AND REPLACED NUMBER 2 INTAKE GASKET.,True,True,none,none,True
100010,rules,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER 4 ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER 4 ROCKER COVER GASKET.,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER 4 ROCKER COVER IS LEAKING.,REMOVED AND REPLACED NUMBER 4 ROCKER COVER GASKET.,NUMBER 4 ROCKER COVER IS LEAKING.,REMOVED AND REPLACED NUMBER 4 ROCKER COVER GASKET.,True,True,none,none,True
100011,rules,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE PERFORMED ENGINE RUN UP, ADJUSTED IDLE AND CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE AND CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE AND CLEANED SPARK",True,True,none,none,True
