IDENT,RAW,GOLD,digitize_flagged
100001,"ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","engine idle override killed engine. tried to adjust idle several times, wouldn't adjust.",False
100002,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED & REPLACED FUEL SERVO,engine idle override killed engine. removed and replaced fuel servo,False
100003,"ENGINE IDLE OVERRIDE KILLED ENGINE. A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO","engine idle override killed engine. aircraft was run up, set idle speed, mixture ok, no leaks noted",False
100004,"HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR. PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","had engine choke and briefly lose power on departure. full throttle. performed engine run up, found cylinder 2 lower plug fouled.",False
100005,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,number 2 and number 4 cylinder rocker cover gaskets are leaking. removed and replaced gaskets.,False
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL). TIGHTENED SCREWS.,"rocker box cover screws loose, all cylinders. tightened screws.",False
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,"induction tube hose clamps loose, all cylinders. tightened hose clamps.",False
100008,#3 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,number 3 intake is leaking. removed and replaced gasket.,False
100009,#2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,number 2 intake is leaking. removed and replaced number 2 intake gasket.,False
100010,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,number 4 rocker cover is leaking. removed and replaced number 4 rocker cover gasket.,False
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE. PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","holding short of runway, after completion of run up. performed engine run up, adjusted idle and cleaned spark",False
100012,L/H REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,left-hand rear engine baffle cracked. stop drilled crack.,False
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,"induction tube hose clamps loose, all cylinders. tightened hose clamps.",False
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.","numbers 1, 2 and 3 rocker box cover gaskets leaking. installed new rocker box cover gaskets.",False
100015,#2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,number 2 rocker cover gasket leaking. removed and replaced number 2 rocker cover gasket.,False
100016,#1 & 3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,number 1 and number 3 rocker cover gasket leaking. removed and replaced number 1 and number 3 rocker cover gasket.,False
100017,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,rocker box cover screws loose. tightened screws.,False
100018,#1 ENGINE BAFFLE CRACKED. FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,number 1 engine baffle cracked. fabricated patch of like material and riveted in accordance with reference manual,False
100019,#1 INTAKE GASKET LEAKING. REPLACED W/ NEW GASKET.,number 1 intake gasket leaking. replaced with new gasket.,False
100020,ROCKER COVER FOR CYL #1 IS LEAKING. REPLACED ROCKER COVER.,rocker cover for cylinder number 1 is leaking. replaced rocker cover.,False
