record_id,system,raw_text,prediction_text,problem_raw,action_raw,problem_candidate,action_candidate,problem_normalized,action_normalized,problem_candidate_grounded,action_candidate_grounded,problem_fallback,action_fallback,protected_tokens_preserved
100001,rules_then_byt5,"ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","ENGINE IDLE OVERRIDE. KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN FEET T ADJUST.",ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",ENGINE IDLE OVERRIDE. KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN FEET T ADJUST.",ENGINE IDLE OVERRIDE. KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN FEET T ADJUST.",True,True,none,none,True
100002,rules_then_byt5,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE. KILLED ENGINE. REMOVED AND REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE. KILLED ENGINE.,REMOVED AND REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE. KILLED ENGINE.,REMOVED AND REPLACED FUEL SERVO,True,True,none,none,True
100003,rules_then_byt5,"ENGINE IDLE OVERRIDE KILLED ENGINE. A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO","ENGINE IDLE OVERRIDE. KILLED ENGINE. AIRCRAFT WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE. KILLED ENGINE.,"AIRCRAFT WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE. KILLED ENGINE.,"AIRCRAFT WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",True,True,none,none,True
100004,rules_then_byt5,"HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE PERFORMED ENGINE RUN UP, FOUND CYLINDER TWO LOWER PLUG FOULED.",HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE,"PERFORMED ENGINE RUN UP, FOUND CYLINDER TWO LOWER PLUG FOULED.",HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE,"PERFORMED ENGINE RUN UP, FOUND CYLINDER TWO LOWER PLUG FOULED.",True,True,none,none,True
100005,rules_then_byt5,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING.,REMOVED AND REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING.,REMOVED AND REPLACED GASKETS.,True,True,none,none,True
100006,rules_then_byt5,ROCKER BOX COVER SCREWS LOOSE (ALL CYL). TIGHTENED SCREWS.,"ROCKER BOX COVER SCREWS LOOSE, ALL CYLINDERS. TIGHTENED SCREWS.",ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,"ROCKER BOX COVER SCREWS LOOSE, ALL CYLINDERS.",TIGHTENED SCREWS.,"ROCKER BOX COVER SCREWS LOOSE, ALL CYLINDERS.",TIGHTENED SCREWS.,True,True,none,none,True
100007,rules_then_byt5,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS.",TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS.",TIGHTENED HOSE CLAMPS.,True,True,none,none,True
100008,rules_then_byt5,#3 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE IS LEAKING.,REMOVED AND REPLACED GASKET.,NUMBER THREE INTAKE IS LEAKING.,REMOVED AND REPLACED GASKET.,True,True,none,none,True
100009,rules_then_byt5,#2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING.,REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING.,REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,True,True,none,none,True
100010,rules_then_byt5,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING.,REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING.,REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,True,True,none,none,True
