pair_id,query_id,query_problem,candidate_problem_x,problem_relevance_0_1_2,phase_a_notes,candidate_id,rank,selected_mode,query_true_historical_action_family,candidate_historical_action,candidate_historical_action_family,candidate_problem_y,candidate_cluster_id,candidate_leakage_group_id,retrieval_score,action_applicability_0_1_2,phase_b_notes
MR-b09b4e6a6fff5ac6,105940,2 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,"Same core problem; engine side is stated on only one side, without contradiction.",106109,2,structure,Replace,CLINDERS NEED TO BE REPLACED. ,Replace,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,EC-97caa6160c52c03f,LG-4285908bb8f7434c,1.0,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-08067e21b5ee6d55,105029,#1 FWD BAFFLE SEAL LOOSE.,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,1,"Same baffle seal defect, but the specified cylinder set conflicts (1 versus 3).",100058,2,structure,Adjust,SECURED BAFFLE SEAL.,Adjust,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,EC-3c8664cb6096a485,LG-37ac3da11bdb9f3b,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-624927620c8f9527,103824,"#3, 4 & 1 INTAKES ARE LEAKING.",INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (1,3,4 versus 2,4).",106109,2,structure,Replace,CLINDERS NEED TO BE REPLACED. ,Replace,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,EC-97caa6160c52c03f,LG-4285908bb8f7434c,1.0,0,Historical record is unresolved/recommendation-only rather than a completed useful action.
MR-e3f62f8678cf4e7f,106106,L/H ENGINE #4 BAFFLE CRACKED.,L/H ENGINE BAFFLE BY ROCKER COVERS CRACKED.,2,"Same core problem; cylinder/location is stated on only one side, without contradiction.",104457,5,structure,Replace,REMOVED & REPLACED L/H ENGINE BAFFLE OVER ROCKER COVERS,Replace,L/H ENGINE BAFFLE BY ROCKER COVERS CRACKED.,EC-4cec170209188659,LG-4cec170209188659,1.0,2,Removing and replacing the cracked engine baffle directly addresses the same condition.
MR-bc2e0d003316d74a,103884,BAFFLE SCREW MISSING ABOVE STARTER.,BAFFLE SCREW MISSING AT FRONT OF #2 CYL.,1,"Same missing baffle screw, but above-starter versus front-of-cylinder-2 location is materially different.",101018,4,structure,Replace,REPLACED SCREW & BARREL NUT.,Replace,BAFFLE SCREW MISSING AT FRONT OF #2 CYL.,EC-5e9712c90e5467c2,LG-5e9712c90e5467c2,0.8,2,Replacing the missing baffle screw and barrel nut directly resolves the same hardware fault.
MR-8bf9f3ff5ff9a94e,101598,CYL #2 & 3 INTAKES ARE LEAKING.,"#1, 2 & 4 CYL INTAKES LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (2,3 versus 1,2,4).",103306,2,structure,Replace,REMOVED & REPLACED CYL INTAKE GASKETS.,Replace,"#1, 2 & 4 CYL INTAKES LEAKING.",EC-6589ad08a9c29778,LG-6589ad08a9c29778,1.0,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-5eae615cd05a33ab,106168,"DURING RUN UP, #2 CYL WAS COLD & ENGINE SHOCK VIOLENTLY (ENG",L/H ENGINE #2 CYL LOST CHT & EGT DURING LANDING. ALSO STARTE,1,"Related maintenance area, but core problem differs: engine rough/cold cylinder versus cylinder temperature indication.",105730,3,structure,Diagnose,REMOVED & REPLACED #2 CYL ASSY ON LEFT ENGINE. CHANGED,Replace,L/H ENGINE #2 CYL LOST CHT & EGT DURING LANDING. ALSO STARTE,EC-63a0cc18be33f892,LG-63a0cc18be33f892,0.5366666666666666,1,"Cylinder replacement is meaningful evidence for a similar cold-cylinder/CHT-EGT symptom, but the failure context is not identical."
MR-3a6d64518fc9839d,106106,L/H ENGINE #4 BAFFLE CRACKED.,FRONT & L/H ENGINE BAFFLE CRACKED.,1,"Same cracked L/H engine baffle, but cylinder-4 versus front-baffle location is a material difference.",102654,4,structure,Replace,STOP DRILLED CRACK.,Other,FRONT & L/H ENGINE BAFFLE CRACKED.,EC-b26b7fabc7e30c45,LG-f8e3931135eed2d1,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-a84cd6d4ee5e3894,100727,REAR BAFFLE PLUGS WORN OUT.,TOP ENGINE COOLING FAN BAFFLE PLUGS WORN OUT.,1,"Same worn baffle plugs, but rear versus top cooling-baffle location differs materially.",102186,1,structure,Replace,REMOVED & REPLACED BAFFLE PLUGS.,Replace,TOP ENGINE COOLING FAN BAFFLE PLUGS WORN OUT.,EC-60f41b24f6909689,LG-60f41b24f6909689,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-017bd2889dfe1364,101430,ENGINE OVER RIDE SPEED WAS 1225 RPM.,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,2,"Same core problem with compatible recorded component, defect, and context.",100071,4,structure,Diagnose,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.",Diagnose,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,EC-09f5d7c20d479e29,LG-09f5d7c20d479e29,1.0,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
