pair_id,query_id,query_problem,candidate_problem,problem_relevance_0_1_2,candidate_historical_action,candidate_historical_action_family,action_applicability_0_1_2,phase_b_notes
MR-48d0ee61681b3785,100264,#3 INTAKE LEAKING AT CLAMP.,"#3 INTAKE LEAKING ON L/H ENGINE, ALONG W/ #2.",1,REMOVED & REPLACED #2 & 3 INTAKE GASKETS.,Replace,1,"Intake-gasket replacement is relevant leak evidence, but the query explicitly locates the leak at the clamp, which may require a different correction."
MR-9ae525c2e9513705,100636,R/H ENGINE #3 INDUCTION TUBE GASKET LEAKING.,R/H ENGINE CYL #3 INTAKE GASKET LEAKING.,2,INSTALLED NEW GASKET.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-217ee2f8b02a34ec,103074,"R/H ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET",R/H REAR ENGINE BAFFLE MOUNTING SCREW LOOSE.,1,TIGHTENED SCREW.,Adjust,0,Historical action addresses different baffle hardware rather than the queried foam/cowl seal.
MR-4750f09932b4493a,101225,"CRACK ON ENGINE BAFFLE, LEFT SIDE, BY #3 CYLINDER.",CRACK ON #4 CYLINDER AFT BAFFLE.,1,STOP DRILLED CRACK.,Other,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-fea1675d88189585,102604,#4 INTAKE LEAKS.,#3 & 4 INTAKE LEAKING ON R/H ENGINE.,1,REMOVED & REPLACED INTAKE GASKETS.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
MR-650af413b118d5c9,104702,L/H ENG #2 CYL HAS LOW COMPRESSION.,R/H ENG #3 CYL HAS LOW COMPRESSION (16/80).,1,OPS & LEAK CK GOOD.,Other,1,"Relevant diagnostic/verification evidence, but no clear corrective resolution is recorded."
MR-4736e6f16df8b365,100392,R/H #4 SIDE BAFFLE MISSING BOLTS.,HARDWARE MISSING FROM #3 BAFFLE.,1,INSTALLED NEW HARDWARE.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-fb06e5f807a1e4b7,105178,#1 ROCKER COVER GASKET LEAKS.,#1 ROCKER COVER GASKET IS LEAKING.,2,REMOVED & REPLACED GASKET.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-303660abc56a73ca,100848,OIL COOLER HOSE REQUIRES REPOSITIONING.,L/H ENG OIL COOLER HOSE IS POSITIONED TOO CLOSE TO OIL FILTE,2,LEAK CK GOOD.,Other,1,"Relevant diagnostic/verification evidence, but no clear corrective resolution is recorded."
MR-b9c5863c14c30827,104071,"R/H ENG, R/H REAR BAFFLE IS CRACKED.",R/H ENG OIL COOLER BAFFLE CRACKED.,1,REPLACED CRACKED BAFFLE W/ SERVICEABLE BAFFLE.,Replace,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-631241144c1d3258,100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,CRACK IN R/H AFT ENGINE BAFFLE.,1,STOP DRILLED CRACK.,Other,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-3b31cba5ef9d4bf9,106106,L/H ENGINE #4 BAFFLE CRACKED.,"L/H ENGINE, ENGINE BAFFLE CRACKED AT OIL COOLER.",1,STOP DRILLED CRACK.,Other,2,Historical action directly addresses the same maintenance condition; slot/location differences are transferable.
MR-4c5920af135286b6,101116,"L/H ENG, #4 INDUCTION TUBE GASKET LEAKING.",L/H ENG #3 INTAKE IS LEAKING.,1,REPLACED INTAKE GASKET.,Replace,2,Completed intake-gasket correction is directly transferable across cylinder slots.
