ident,text,items,faults,actions
100001,"engine idle override killed engine . tried to adjust idle several times , wouldn ' t adjust .",engine,wouldn ' t adjust; killed,tried to adjust
100002,engine idle override killed engine . removed and replaced fuel servo,engine; fuel servo,,removed; replaced
100003,"engine idle override killed engine . aircraft was run up , set idle speed , mixture ok , no leaks no",engine; aircraft,killed,run up; set idle speed
100004,"had engine choke and briefly lose power on departure . full throttle . performed engine run up , found cylinder 2 lower plug fouled .",engine; throttle; cylinder; plug,fouled; choke; briefly lose,run up
100005,number 2 and 4 cylinder rocker cover gaskets are leaking . removed and replaced gaskets .,cylinder; rocker cover gaskets; gaskets,leaking,removed; replaced
100006,rocker box cover screws loose all cylinder . tightened screws .,rocker box cover screws; cylinder; screws,loose,tightened
100007,induction tube hose clamps loose all cylinder . tightened hose clamps .,induction tube; hose clamps; cylinder,loose,tightened
100008,number 3 intake is leaking . removed and replaced gasket .,intake; gasket,leaking,removed; replaced
100009,number 2 intake is leaking . removed and replaced number 2 intake gasket .,intake; intake gasket,leaking,removed; replaced
100010,number 4 rocker cover is leaking . removed and replaced number 4 rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
100011,"holding short of runway , after completion of run up , engine . performed engine run up , adjusted idle and cleaned spark",engine; spark,,run up; adjusted; cleaned
100012,left-hand rear engine baffle cracked . stop drilled crack .,engine; baffle,cracked; crack,stop drilled
100013,induction tube hose clamps loose all cyls . tightened hose clamps .,induction tube; hose clamps,loose,tightened
100014,"number 1 , 2 and 3 rocker box cover gaskets leaking . installed new rocker box cover gaskets .",rocker box cover gaskets,leaking,installed
100015,number 2 rocker cover gasket leaking . removed and replaced number 2 rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
100016,number 1 and 3 rocker cover gasket leaking . removed and replaced number 1 and 3 rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
100017,rocker box cover screws loose . tightened screws .,rocker box cover screws; screws,loose,tightened
100018,number 1 engine baffle cracked . fabricated patch of like material and riveted in accordance with,engine; baffle; patch; like material,cracked,fabricated
100019,number 1 intake gasket leaking . replaced with new gasket .,intake gasket; gasket,leaking,replaced
100020,rocker cover for cylinder number 1 is leaking . replaced rocker cover .,rocker cover; cylinder,leaking,replaced
100021,cylinder number 4 intake leaking . replaced gasket . leak check good .,cylinder; intake; gasket,leaking,replaced; leak check
100022,number 2 and 4 cylinder rocker cover gaskets leaking . removed and replaced rocker cover gaskets . cleaned leaks,cylinder; rocker cover gaskets,leaking; leaks,removed; replaced; cleaned
100023,rocker box cover screws are loose . tightened screws .,rocker box cover screws; screws,loose,tightened
100024,induction tube hose clamps loose all cylinder . tightened hose clamps .,induction tube; hose clamps; cylinder,loose,tightened
