example_id,record_id,field,raw_problem,raw_action,raw_text,reference_text,reference_edit,automatic_category,review_reason,source_matches_reference_source,review_status,review_comment,valid_primary,_merge,expert_reference_valid,include_extended_reference,reference_scope,decision_basis,qc_flag,review_method,reviewed_on,amin_abbreviation_evidence,amin_misspelling_evidence,numeral_or_symbol_expansion,input_text,target_text,cluster_id,split
100001::combined,100001,combined,ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",,unchanged,exactly identical,True,approved_lexical,Accepted identity pair to teach leave-as-is behavior; source and target are identical.,True,both,True,True,primary_lexical,Accepted identity pair to teach leave-as-is behavior; source and target are identical.,identity_pair,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,False,"normalize combined: ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",normgrp-f5babae1b3d7,train
100002::combined,100002,combined,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED AND REPLACED FUEL SERVO,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,True,normalize combined: ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED AND REPLACED FUEL SERVO,normgrp-7fcf3a148e7b,train
100004::combined,100004,combined,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE. PERFORMED ENGINE RUN UP, FOUND CYLINDER TWO LOWER PLUG FOULED.",,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,True,"normalize combined: HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE. PERFORMED ENGINE RUN UP, FOUND CYLINDER TWO LOWER PLUG FOULED.",normgrp-37fe1b36d7a6,train
100005::combined,100005,combined,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,,possible_unsupported_addition,reference adds substantial text,True,approved_lexical,"Accepted as expert multi-token expansion or numeral verbalization. The earlier heuristic flag reflects length growth, not unsupported maintenance facts; source verified and no completion/truncation/anonymization flag.",True,both,True,True,primary_lexical,"Accepted as expert multi-token expansion or numeral verbalization. The earlier heuristic flag reflects length growth, not unsupported maintenance facts; source verified and no completion/truncation/anonymization flag.",length_expansion_reviewed,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,True,True,normalize combined: #2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,normgrp-458e8de9ec1f,validation
100006::combined,100006,combined,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYL). TIGHTENED SCREWS.,"ROCKER BOX COVER SCREWS LOOSE, ALL CYLINDERS. TIGHTENED SCREWS.",PUNC - B,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,False,normalize combined: ROCKER BOX COVER SCREWS LOOSE (ALL CYL). TIGHTENED SCREWS.,"ROCKER BOX COVER SCREWS LOOSE, ALL CYLINDERS. TIGHTENED SCREWS.",normgrp-9891a5dbab0a,train
100007::combined,100007,combined,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,False,normalize combined: INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",normgrp-77d003c59989,train
100008::combined,100008,combined,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,#3 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,True,True,normalize combined: #3 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,normgrp-fd7f7cbf1e69,train
100009::combined,100009,combined,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,True,True,normalize combined: #2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,normgrp-fd7f7cbf1e69,train
100010::combined,100010,combined,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,False,True,True,normalize combined: #4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,normgrp-458e8de9ec1f,validation
100012::combined,100012,combined,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,L/H REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,LEFT-HAND REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,,possible_abbreviation_expansion,short tokens may be expanded,True,approved_abbreviation,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,True,both,True,True,primary_lexical,Accepted Amin expert abbreviation/symbol/number expansion; source ID and original text verified; no cutoff or anonymization flag.,none,Amin expert-reference acceptance with task-boundary separation; deterministic full-corpus QC plus targeted manual inspection.,2026-08-23,True,False,True,normalize combined: L/H REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,LEFT-HAND REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,normgrp-e9834cc9abba,test
