ID,PROBLEM,ACTION,CLEANED,EDIT
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",
100002,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED AND REPLACED FUEL SERVO,
100003,ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO","ENGINE IDLE OVERRIDE KILLED ENGINE. AIRCRAFT WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NOTED",CUTOFF - C
100004,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","HAD ENGINE CHOKE AND BRIEFLY LOSE POWER ON DEPARTURE. FULL THROTTLE. PERFORMED ENGINE RUN UP, FOUND CYLINDER TWO LOWER PLUG FOULED.",
100005,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,"ROCKER BOX COVER SCREWS LOOSE, ALL CYLINDERS. TIGHTENED SCREWS.",PUNC - B
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B
100008,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,
100009,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,
100010,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP. PERFORMED ENGINE RUN UP, ADJUSTED IDLE AND CLEANED SPARK",CUTOFF - T
100012,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT-HAND REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,"NUMBERS ONE, TWO AND THREE ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.",
100015,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,
100016,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER ONE AND NUMBER THREE ROCKER COVER GASKET.,
100017,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,
100018,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW ,NUMBER ONE ENGINE BAFFLE CRACKED. FABRICATED PATCH OF LIKE MATERIAL AND RIVETED IN ACCORDANCE WITH REFERENCE MANUAL ,ANON
100019,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,NUMBER ONE INTAKE GASKET LEAKING. REPLACED WITH NEW GASKET.,
100020,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,ROCKER COVER FOR CYLINDER NUMBER ONE IS LEAKING. REPLACED ROCKER COVER.,
100021,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,CYLINDER NUMBER FOUR INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,
100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,
100023,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,
100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B
100025,#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED","NUMBER ONE INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",
100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,"INDUCTION TUBE HOSE CLAMPS LOOSE, ALL CYLINDERS. TIGHTENED HOSE CLAMPS.",PUNC - B
100027,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,RIGHT-HAND MAGNETO BLAST TUBE FELL OFF. REMOVED RIGHT-HAND AFT BAFFLE TO FACILITATE REPAIR.,CUTOFF - T
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT TWELVE HUNDRED RPM. INSPECTED CYLINDERS ONE, TWO AND FOUR IN ACCORDANCE WITH REFERENCE MANUAL. CHECKED OK. REMOVED","PUNC - D, ANON"
100029,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT TWELVE HUNDRED RPM. PERFORMED COMPRESSION CHECK, CYLINDER NUMBER THREE INDICATED ZERO PSI.",
100030,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE AT TWELVE HUNDRED RPM. COMPLETED BAFFLE INSTALLATION, OIL FILLER TUBE, SPARK PLUGS.",
100031,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. REPLACED GASKET.,
