issue,context,record_count
high frequency vibration,while running up,8
failed,on run up,7
unusually rough,on engine start,7
magneto check,on run up,6
runs rough,on run up,6
does not run,at idle,5
partial power loss,in flight,5
rough running,in flight,5
running very rough,after start up,5
shaking,after start up,5
very rough,at idle,5
vibrations,in straight and level flight,5
dropped,on run up,4
missing,on run up,4
ran rough,after engine start,4
rough,start,4
rough running,after engine start up,4
running rough,at idle,4
smoked out,after engine start,4
stuck,in flight,4
vibration,after engine start,4
vibration,after engine start up,4
vibration,in flight,4
became incredibly rough,during cruise,3
became rough,in flight,3
damaged,on aircraft run up,3
does not run,after start,3
inoperable,in flight,3
ran consistantly rough,after start,3
rough chopping noise,on application of fu,3
roughness,on long final,3
run rough,on start up,3
running rough,during run up,3
running rough,on post run up,3
running very rough,during engine start,3
started normally,60 secs after start,3
very rough,after start,3
would not increase,during run up,3
applied,"full power , smoothly",2
backfired,while in a hover,2
cold,during run up,2
coughed,anytime rpms were b,2
coughed,while taxing,2
cracked,on compression test,2
exceeded,during flight,2
faulty,on run up,2
lost,during landing,2
loud tap,at full throttle,2
loud tap,during power on stall,2
partial power loss,during climb,2
quit,during flare phase of landing,2
quit,while taxiing,2
ran,after engine start lean procedure,2
ran rough,after start up,2
ran rough,during run up,2
ran very rough,during takeoff at check,2
ran very rough,on right engine start,2
ran very rough,on start up,2
rough,on start,2
rough,on takeoff,2
rough running,on start,2
roughness,momentary power hesitation,2
roughness,on approach,2
rpm dropped,run up,2
running rough,during flight,2
runs rough,after start,2
runs rough,on start,2
shock violently,during run up,2
slight power loss,takeoff,2
sounded like,during late takeoff roll and pattern,2
sputtered,anytime rpms were b,2
sputtered,while taxing,2
started running rough,in flight,2
started running rough shortly,after takeoff,2
vibrated,throughout flight,2
vibration,during engine start,2
adjusted,on last daily shut do,1
adjusted,seasonal conditions,1
almost quit,in heater hangar,1
applied,after 20 inches manifold pressure,1
audible rpm drop,on climb out,1
audible rpm loss,while leveling in down,1
back fired,climbing after takeoff,1
backfired,during start,1
barely capable,at limiting manifold,1
barely capable,hover at limiting manifold,1
began to struggle,during steep turns,1
briefly lose power,on departure,1
broken,on ground,1
"burned , sooted",on start up,1
checked,full power,1
choke,on departure,1
choked,climbing after takeoff,1
click,on start,1
clicking noise,during initial climb,1
clicking noise,throughout res,1
co level high warning came on,while taxiing,1
co warning came,during taxi,1
compression,after run,1
coughed,anytime rpms were,1
coughed,at different settings,1
could not restart,while taxiing,1
cut off,during start up,1
damaged,during removal,1
die,when leaning out,1
died,after landing,1
died,after landing ground roll stop,1
died,after start up,1
died,at idle,1
died,during idle check,1
died,during taxi,1
exceeded,during recovery,1
exceeded,on descent,1
failed,after coming to a stop after landing,1
failed,during aircraft run up,1
failure,while holding short,1
flame came out,during start,1
flames,on start up,1
flames comi,during run up,1
fluctuating,after takeoff,1
found,during post flight,1
