evaluation_cluster_id,split,case_count,unique_problem_texts,sample_problem_1,sample_problem_2,sample_problem_3,sample_case_ids
EVC-55975713689ca7cf,train,866,314,#1 INTAKE GASKET LEAKING.,#4 CYL INTAKE GASKET IS LEAKING.,#3 INTAKE TUBE GASKET IS LEAKING.,100019 | 100025 | 100073 | 100083 | 100094
EVC-6fdf79e9d6bc53cd,test,562,255,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",#2 ROCKER COVER GASKET LEAKING.,100005 | 100014 | 100015 | 100016 | 100022
EVC-91e1819ebfc3a6bc,train,425,181,#4 ROCKER COVER IS LEAKING.,#2 & 4 ROCKER COVERS ARE LEAKING.,#4 CYL ROCKER COVER IS LEAKING.,100010 | 100047 | 100049 | 100052 | 100056
EVC-a369513305f55b3c,train,338,31,#3 INTAKE IS LEAKING.,#2 INTAKE IS LEAKING.,CYL #4 INTAKE LEAKING.,100008 | 100009 | 100021 | 100041 | 100051
EVC-10d6cf8d08e89c79,train,307,157,L/H ENG #2 INTAKE LEAKING.,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING.",#2 INTAKE LEAKING ON R/H ENGINE.,100037 | 100139 | 100203 | 100204 | 100214
EVC-ad48fef8b7078a6e,train,97,30,#2 CYLINDER HAS LOW COMPRESSION.,#4 CYL HAS NO COMPRESSION.,#3 CYLINDER HAS NO COMPRESSION.,100116 | 100154 | 100231 | 100232 | 100554
EVC-0ed81a00bbca99c4,train,79,48,#4 ROCKER GASKET LEAKING.,"#2, 3 & 4 ROCKER GASKETS LEAKING.",#2 & 3 ROCKER GASKETS LEAKING.,100229 | 100247 | 100509 | 100627 | 100634
EVC-7cf9e5ea10512a0a,test,77,28,#1 & 3 INTAKES LEAKING.,#1 & 4 INTAKES LEAKING.,"INTAKES 1, 2, 3 & 4 LEAKING.",100132 | 100299 | 100495 | 100516 | 100574
EVC-f33e74d290c0b5f5,train,59,18,#2 INDUCTION TUBE GASKET LEAKING.,L/H ENG #4 INDUCTION TUBE GASKET LEAKING.,#2 & 4 INDUCTION TUBE GASKETS LEAKING.,100089 | 100237 | 100286 | 100297 | 100354
EVC-53e43cb480e73d07,train,28,21,#3 CYL AFT BAFFLE IS CRACKED.,L/H #4 AFT BAFFLE CRACKED.,R/H AFT BAFFLE CRACKED.,100657 | 100749 | 100872 | 101141 | 101142
