IDENT,raw,normalized,n_tokens,n_expansions
100001,"ENGINE IDLE OVERRIDE KILLED ENGINE. TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.","engine idle override killed engine. tried to adjust idle several times, wouldn't adjust.",16,0
100002,ENGINE IDLE OVERRIDE KILLED ENGINE. REMOVED & REPLACED FUEL SERVO,engine idle override killed engine. removed and replaced fuel servo,11,1
100003,"ENGINE IDLE OVERRIDE KILLED ENGINE. A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO","engine idle override killed engine. aircraft was run up, set idle speed, mixture ok, no leaks no",21,1
100004,"HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR. PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.","had engine choke and briefly lose power on departure. full throttle. performed engine run up, found cylinder 2 lower plug fouled.",25,3
100005,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED GASKETS.,number 2 and 4 cylinder rocker cover gaskets are leaking. removed and replaced gaskets.,15,4
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL). TIGHTENED SCREWS.,rocker box cover screws loose all cylinder. tightened screws.,13,1
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,induction tube hose clamps loose all cylinder. tightened hose clamps.,14,1
100008,#3 INTAKE IS LEAKING. REMOVED & REPLACED GASKET.,number 3 intake is leaking. removed and replaced gasket.,10,2
100009,#2 INTAKE IS LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,number 2 intake is leaking. removed and replaced number 2 intake gasket.,12,3
100010,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,number 4 rocker cover is leaking. removed and replaced number 4 rocker cover gasket.,14,3
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE. PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","holding short of runway, after completion of run up, engine. performed engine run up, adjusted idle and cleaned spark",23,1
100012,L/H REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,left-hand rear engine baffle cracked. stop drilled crack.,10,1
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,induction tube hose clamps loose all cyls. tightened hose clamps.,14,0
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING. INSTALLED NEW ROCKER BOX COVER GASKETS.","number 1, 2 and 3 rocker box cover gaskets leaking. installed new rocker box cover gaskets.",18,2
100015,#2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,number 2 rocker cover gasket leaking. removed and replaced number 2 rocker cover gasket.,14,3
100016,#1 & 3 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,number 1 and 3 rocker cover gasket leaking. removed and replaced number 1 and 3 rocker cover gasket.,18,5
100017,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,rocker box cover screws loose. tightened screws.,9,0
100018,#1 ENGINE BAFFLE CRACKED. FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,number 1 engine baffle cracked. fabricated patch of like material and riveted in accordance with,13,3
100019,#1 INTAKE GASKET LEAKING. REPLACED W/ NEW GASKET.,number 1 intake gasket leaking. replaced with new gasket.,10,2
100020,ROCKER COVER FOR CYL #1 IS LEAKING. REPLACED ROCKER COVER.,rocker cover for cylinder number 1 is leaking. replaced rocker cover.,12,2
100021,CYL #4 INTAKE LEAKING. REPLACED GASKET. LEAK CHECK GOOD.,cylinder number 4 intake leaking. replaced gasket. leak check good.,12,2
100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,number 2 and 4 cylinder rocker cover gaskets leaking. removed and replaced rocker cover gaskets. cleaned leaks,18,3
100023,ROCKER BOX COVER SCREWS ARE LOOSE. TIGHTENED SCREWS.,rocker box cover screws are loose. tightened screws.,10,0
100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL). TIGHTENED HOSE CLAMPS.,induction tube hose clamps loose all cylinder. tightened hose clamps.,14,1
100025,"#1 INTAKE GASKET LEAKING. REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED","number 1 intake gasket leaking. removed intake tube, found tube to be cracked. removed",16,1
100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS). TIGHTENED HOSE CLAMPS.,induction tube hose clamps loose all cyls. tightened hose clamps.,14,0
100027,R/H MAG BLAST TUBE FELL OFF. REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,right-hand magneto blast tube fell off. removed right-hand aft baffle to facilitate repair. fabricated,16,3
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP. INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","on start up, engine began to run rough. ran engine at 1200 rp. inspected cylinder 1, 2 and 4 in accordance with - checked ok. removed",29,5
