pair_id,query_id,query_problem,candidate_problem,problem_relevance_0_1_2,phase_a_notes
MR-b09b4e6a6fff5ac6,105940,2 & 4 INTAKES LEAKING.,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,2,"Same core problem; engine side is stated on only one side, without contradiction."
MR-08067e21b5ee6d55,105029,#1 FWD BAFFLE SEAL LOOSE.,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,1,"Same baffle seal defect, but the specified cylinder set conflicts (1 versus 3)."
MR-624927620c8f9527,103824,"#3, 4 & 1 INTAKES ARE LEAKING.",INTAKES 2 & 4 LEAKING ON R/H ENGINE.,1,"Same intake leak, but the specified cylinder set conflicts (1,3,4 versus 2,4)."
MR-e3f62f8678cf4e7f,106106,L/H ENGINE #4 BAFFLE CRACKED.,L/H ENGINE BAFFLE BY ROCKER COVERS CRACKED.,2,"Same core problem; cylinder/location is stated on only one side, without contradiction."
MR-bc2e0d003316d74a,103884,BAFFLE SCREW MISSING ABOVE STARTER.,BAFFLE SCREW MISSING AT FRONT OF #2 CYL.,1,"Same missing baffle screw, but above-starter versus front-of-cylinder-2 location is materially different."
MR-8bf9f3ff5ff9a94e,101598,CYL #2 & 3 INTAKES ARE LEAKING.,"#1, 2 & 4 CYL INTAKES LEAKING.",1,"Same intake leak, but the specified cylinder set conflicts (2,3 versus 1,2,4)."
MR-5eae615cd05a33ab,106168,"DURING RUN UP, #2 CYL WAS COLD & ENGINE SHOCK VIOLENTLY (ENG",L/H ENGINE #2 CYL LOST CHT & EGT DURING LANDING. ALSO STARTE,1,"Related maintenance area, but core problem differs: engine rough/cold cylinder versus cylinder temperature indication."
MR-3a6d64518fc9839d,106106,L/H ENGINE #4 BAFFLE CRACKED.,FRONT & L/H ENGINE BAFFLE CRACKED.,1,"Same cracked L/H engine baffle, but cylinder-4 versus front-baffle location is a material difference."
MR-a84cd6d4ee5e3894,100727,REAR BAFFLE PLUGS WORN OUT.,TOP ENGINE COOLING FAN BAFFLE PLUGS WORN OUT.,1,"Same worn baffle plugs, but rear versus top cooling-baffle location differs materially."
MR-017bd2889dfe1364,101430,ENGINE OVER RIDE SPEED WAS 1225 RPM.,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,2,"Same core problem with compatible recorded component, defect, and context."
MR-3cab3bd7f0f58940,101930,#1 CYL HAS LOW COMPRESSION.,CYL #3 HAD LOW COMPRESSION (50/80).,1,"Same low cylinder compression, but the specified cylinder set conflicts (1 versus 3)."
MR-c3e8eecdd8564e06,101898,#3 INDUCTION TUBE GASKET LEAKING.,#1 INTAKE GASKET LEAKING.,1,"Same intake leak, but the specified cylinder set conflicts (3 versus 1)."
MR-6c7c6bd95f3f5521,101371,AFT BAFFLE BRACKET MISSING SCREW.,MISSING SCREW FRONT BAFFLE ON R/H SIDE.,1,"Same baffle missing hardware, but the specified location conflicts (aft versus front)."
MR-1372943a8c221b77,101458,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,LOW COMPRESSION (40/80) ON #3 CYLINDER. AIR LEAKING FROM EXH,2,"Same core problem; engine side is stated on only one side, without contradiction."
